programme_id,id_type,programme_name,training_category,topic,description,learning_objectives,target_participants,eligibility,duration,batch_size,venue,institute,training_mode,training_year,schedule,recommended_by_TPAC,source_document,source_page,source_url
NSSTA-PROT-001,internal_prototype_id,Survey Methodology and Data Analysis,ISS Probationary Training,Survey Methodology and Data Analysis,NULL,NULL,ISS (P)-46th Batch (2024),NULL,5 day(s),28,NULL,"ISI, Kolkata",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk1-2,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-055,internal_prototype_id,Large Scale Sample Survey (UN SIAP),UN SIAP,Large Scale Sample Survey (UN SIAP),NULL,NULL,State DES Officers / International,NULL,5 day(s),30,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk21,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-056,internal_prototype_id,Project Work (ISS Probationary),ISS Probationary Training,Project Work (ISS Probationary),NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk22-23,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-057,internal_prototype_id,Special Foundation Course (SFC) with AIS and CCS Officers,ISS Probationary Training,Special Foundation Course (SFC) with AIS and CCS Officers,NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,"MCRHRD, Hyderabad or other DoPT-nominated institute",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk23-31 (recurring),Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-058,internal_prototype_id,System of Environment-Economic Accounting (SEEA) & National Account Statistics (NAS),UN SIAP,System of Environment-Economic Accounting (SEEA) & National Account Statistics (NAS),NULL,NULL,State DES Officers / International,NULL,5 day(s),30,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk24,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-059,internal_prototype_id,"Ethics, Data Governance and Integrity in Public Service",DSTP (In-Service ISS Officers),"Ethics, Data Governance and Integrity in Public Service",NULL,NULL,In-Service ISS Officers,NULL,5 day(s),25,NULL,Respective Offices,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk27,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-060,internal_prototype_id,Statistical Literacy and Storytelling,DSTP (In-Service ISS Officers),Statistical Literacy and Storytelling,NULL,NULL,In-Service ISS Officers,NULL,5 day(s),25,NULL,IIM A,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk38,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-061,internal_prototype_id,Theory & Practices in Official Statistics for Monitoring SDGs,UN SIAP,Theory & Practices in Official Statistics for Monitoring SDGs,NULL,NULL,State DES Officers / International,NULL,5 day(s),30,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk38,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-062,internal_prototype_id,Miscellaneous Statistics,ISS Probationary Training,Miscellaneous Statistics,NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk39,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-063,internal_prototype_id,Awareness on Official Statistics (PG/UG),PG & UG University Exposure Training,Awareness on Official Statistics (PG/UG),NULL,NULL,PG/UG Students of Statistics,NULL,5 day(s),40,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk39,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-064,internal_prototype_id,"Office Procedures, Establishment and Fundamental Rules",ISS Probationary Training,"Office Procedures, Establishment and Fundamental Rules",NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,"ISTM, Delhi",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk39-40,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-065,internal_prototype_id,Parliamentary Procedures,ISS Probationary Training,Parliamentary Procedures,NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,"PRIDE, Delhi",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk41,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-066,internal_prototype_id,Monitoring Outcomes & Evaluating Impact,ISS Probationary Training,Monitoring Outcomes & Evaluating Impact,NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,"ASCI, Hyderabad or other institute",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk42,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-067,internal_prototype_id,GFR: Procurement of Goods & Services (DSTP),DSTP (In-Service ISS Officers),GFR: Procurement of Goods & Services (DSTP),NULL,NULL,In-Service ISS Officers,NULL,5 day(s),25,NULL,"AJ-NIFM, Faridabad / ASCI, Hyderabad",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk43,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-068,internal_prototype_id,Econometrics and Time Series Analysis,ISS Probationary Training,Econometrics and Time Series Analysis,NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,"ISEC, Bangalore",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk44,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-069,internal_prototype_id,ISEC - Official Statistics and Related Methodology,ISEC 77th Term,ISEC - Official Statistics and Related Methodology,NULL,NULL,International Participants,NULL,5 day(s),20,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk44-47,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-070,internal_prototype_id,National Strategy for the Development of Statistics (NSDS) & Advanced Data Planning Tool (ADAPT),UN SIAP,National Strategy for the Development of Statistics (NSDS) & Advanced Data Planning Tool (ADAPT),NULL,NULL,State DES Officers / International,NULL,5 day(s),30,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk45,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-071,internal_prototype_id,Financial Statistics (ISS Probationary),ISS Probationary Training,Financial Statistics (ISS Probationary),NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,NIBM Pune / RBI,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk45,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-072,internal_prototype_id,"Advance IT, Data Visualization",ISS Probationary Training,"Advance IT, Data Visualization",NULL,NULL,ISS (P)-46th Batch (2024),NULL,5 day(s),28,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk46,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-073,internal_prototype_id,Foundation Course on Artificial Intelligence and Big Data,MCTP Phase 1 Stage-II,Foundation Course on Artificial Intelligence and Big Data,NULL,NULL,ISS officers (8-10 yrs service),NULL,5 day(s),25,NULL,IIT Madras / IISC Bengaluru / C.R. Rao Hyderabad / IIT Kharagpur / IIT Delhi / IIT Mumbai / IIIT,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk46,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-074,internal_prototype_id,Survey Methodology & Data Analysis (HSD/EnSD/FOD/DGCI&S),ISS Probationary Training,Survey Methodology & Data Analysis (HSD/EnSD/FOD/DGCI&S),NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,HSD/EnSD/FOD/DGCI&S/ISI and reputed institutes,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk46-48,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-075,internal_prototype_id,Management Development Programme,ISS Probationary Training,Management Development Programme,NULL,NULL,ISS (P)-46th Batch (2024),NULL,5 day(s),28,NULL,IIM-A / IIMs,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk49,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-076,internal_prototype_id,Tools Used for Data Collection,SSS In-Service Training,Tools Used for Data Collection,NULL,NULL,JSOs,NULL,5 day(s),25,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk49,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-077,internal_prototype_id,Social Statistics (DES Programme),DES Training Programme,Social Statistics (DES Programme),NULL,NULL,DES Officers,NULL,5 day(s),30,NULL,NSSTA / KL Bhavan,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk50,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-078,internal_prototype_id,Skills and Techniques for Imparting Trainings,SSS In-Service Training,Skills and Techniques for Imparting Trainings,NULL,NULL,SSOs,NULL,5 day(s),25,NULL,ISTM / IIM Ahmedabad / IIPA New Delhi / State DES,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk50,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-079,internal_prototype_id,"Big Data, Artificial Intelligence with Python, ML",ISS Probationary Training,"Big Data, Artificial Intelligence with Python, ML",NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,IIT Madras / IIT Kharagpur or other reputed institute,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk50-51,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-080,internal_prototype_id,Stress Management,SSS In-Service Training,Stress Management,NULL,NULL,JSOs / SSOs,NULL,5 day(s),25,NULL,"Art of Living, Bangalore",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk36-37,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
